"","date","nox","no","no2","h2s","pm10","co","so2","o3","hcnm","hct","wd","ws"
"83",2009-08-11 00:00:00,NA,2,49,1,NA,0.2,1,20,NA,NA,177.22034304194,2.49791666666667
"84",2009-08-12 00:00:00,NA,1,48,1,NA,0.2,1,34,NA,NA,186.362375161292,2.42083333333333
"85",2009-08-13 00:00:00,NA,1,41,1,NA,0.2,1,49,NA,NA,246.42840021946,2.4375
"86",2009-08-14 00:00:00,NA,6,77,1,NA,0.2,1,7,NA,NA,182.398463349322,2.80625
"87",2009-08-15 00:00:00,NA,2,49,1.4,NA,0.2,1,23,NA,NA,195.265851007898,2.67708333333333
"88",2009-08-16 00:00:00,NA,4,55,1.1,NA,0.2,1,10,NA,NA,181.629257339132,2.39166666666667
"89",2009-08-17 00:00:00,NA,4,67,1,NA,0.2,1,9,NA,NA,280.366071144115,2.6875
"90",2009-08-18 00:00:00,NA,5,68,1.2,NA,0.2,1,14,NA,NA,276.992501619341,2.3875
"91",2009-08-19 00:00:00,NA,10,81,2.2,NA,0.2,1,4,NA,NA,175.873348242417,2.92291666666667
"92",2009-08-20 00:00:00,NA,11,79,1.9,NA,0.2,1,4,NA,NA,172.516301075578,2.79791666666667
"93",2009-08-21 00:00:00,NA,3,55,1.2,NA,0.2,1,21,NA,NA,172.268099420101,2.59583333333333
"94",2009-08-22 00:00:00,NA,1,38,1.2,NA,0.2,1,27,NA,NA,174.70729495263,2.66875
"95",2009-08-23 00:00:00,NA,7,75,1.2,NA,0.6,1,11,NA,NA,240.073105753617,1.98541666666667
"96",2009-08-24 00:00:00,NA,2,38,1,NA,0.6,1,36,NA,NA,169.947093280321,2.25
"97",2009-08-25 00:00:00,NA,4,43,1.9,NA,0.2,1,11,NA,NA,115.554515538297,1.94166666666667
"98",2009-08-26 00:00:00,NA,3,45,1.5,NA,0.2,1,22,NA,NA,168.247987302723,2.72083333333333
"99",2009-08-27 00:00:00,NA,2,62,1.3,NA,0.2,1,12,NA,NA,186.605308664617,2.57916666666667
"100",2009-08-28 00:00:00,NA,1,42,1,NA,0.2,1,46,NA,NA,204.789038401025,2.89166666666667
"101",2009-08-29 00:00:00,NA,2,34,1,NA,0.2,1,29,NA,NA,200.27461057509,2.94375
"102",2009-08-30 00:00:00,NA,2,34,1.1,NA,0.2,1,38,NA,NA,180.572485348241,2.67083333333333
"103",2009-08-31 00:00:00,NA,17,62,1.2,NA,0.2,1,3,NA,NA,185.616186705768,2.05833333333333
"104",2009-09-01 00:00:00,NA,10,60,1.3,NA,0.2,1,2,NA,NA,169.460004621258,2.08958333333333
"105",2009-09-02 00:00:00,NA,14,51,1,NA,0.2,1,11,NA,NA,173.009480430453,1.975
"106",2009-09-03 00:00:00,NA,3,21,1,NA,0.2,1,50,NA,NA,162.514441040036,2.49166666666667
"107",2009-09-04 00:00:00,NA,8,44,1,NA,0.2,1,4,NA,NA,149.366861697258,2.475
"108",2009-09-05 00:00:00,NA,7,66,1,NA,0.2,1,10,NA,NA,226.242530576962,2.45208333333333
"109",2009-09-06 00:00:00,NA,2,45,1,NA,0.2,1,21,NA,NA,174.441212498411,2.56458333333333
"110",2009-09-07 00:00:00,NA,7,59,1.1,NA,0.2,1,12,NA,NA,182.900794558431,2.08333333333333
"111",2009-09-08 00:00:00,NA,2,69,1.3,NA,0.2,1,20,NA,NA,168.944899158423,2.225
"112",2009-09-09 00:00:00,NA,12,70,1.2,NA,0.2,1,9,NA,NA,183.475704491377,2.25416666666667
"113",2009-09-10 00:00:00,NA,8,102,1.2,NA,0.2,1,8,NA,NA,196.518771545328,2.76041666666667
"114",2009-09-11 00:00:00,NA,2,51,1.9,NA,0.2,1,42,NA,NA,196.273233648393,2.5375
"115",2009-09-12 00:00:00,NA,3,41,1,NA,0.2,1,65,NA,NA,187.171000852531,2.41666666666667
"116",2009-09-13 00:00:00,NA,2,32,1.1,NA,0.2,1,56,NA,NA,267.40979641219,2.00208333333333
"117",2009-09-14 00:00:00,NA,2,31,1,NA,0.2,1,64,NA,NA,120.607838700898,2.76041666666667
"118",2009-09-15 00:00:00,NA,55,44,1.1,NA,0.2,2,1,NA,NA,5.76509152176304,0.995833333333333
"119",2009-09-16 00:00:00,NA,53,78,1.1,NA,0.2,1,3,NA,NA,254.983325977678,2.04583333333333
"120",2009-09-17 00:00:00,NA,2,26,1,NA,0.2,1,56,NA,NA,109.820270663272,2.16875
"121",2009-09-18 00:00:00,NA,28,74,1.3,NA,0.2,1,3,NA,NA,293.164533010873,2.16875
"122",2009-09-19 00:00:00,NA,10,72,1.1,NA,0.2,1,6,NA,NA,334.93146722981,2.35416666666667
