date;c6h6;co;no;no2;nox;o3;so2
2012-10-02;;0,38;25,42;47,58;;36,79;2,42
2012-10-03;;0,37;19,17;50,67;;36,13;2,18
2012-10-04;;0,39;28,32;50,77;;30,54;1,88
2012-10-05;;0,41;32,92;32,63;;35,58;2,17
2012-10-06;;0,37;14,33;28,42;;36,96;1,79
2012-10-07;;0,37;5,0;27,13;;47,38;1,33
2012-10-08;;0,4;33,13;45,38;;34,29;1,92
2012-10-09;;0,43;36,08;39,46;;32,42;1,75
2012-10-10;;0,43;21,25;33,17;;34,0;1,46
2012-10-11;;0,44;33,63;38,75;;20,38;1,46
2012-10-12;;0,38;18,46;22,92;;27,38;1,42
2012-10-13;;0,39;9,67;27,88;;31,67;1,42
2012-10-14;;0,39;6,92;25,71;;37,54;2,0
2012-10-15;;0,41;17,0;35,95;;32,79;2,0
2012-10-16;;0,47;22,88;38,96;;32,08;2,71
2012-10-17;;0,49;33,04;40,96;;32,58;2,83
2012-10-18;;0,49;2,92;33,04;;50,21;1,13
2012-10-19;;0,45;12,96;39,29;;34,67;1,29
2012-10-20;;0,42;2,88;20,96;;39,54;1,0
2012-10-21;;0,38;1,25;13,75;;60,33;1,0
2012-10-22;;0,49;24,33;35,0;;32,79;1,46
2012-10-23;;0,53;31,52;29,35;;26,43;1,96
2012-10-24;;0,56;41,79;29,75;;24,96;2,04
2012-10-25;;0,62;51,0;41,33;;17,63;2,42
2012-10-26;;0,5;25,42;34,42;;29,88;1,46
2012-10-27;;0,42;2,75;21,04;;40,42;1,0
2012-10-28;;0,4;1,08;14,33;;60,17;1,75
2012-10-29;;0,53;25,83;36,92;;34,08;3,0
2012-10-30;;0,5;73,48;54,22;;6,88;3,87
2012-10-31;;0,26;23,67;42,92;;34,25;2,17
2012-11-01;;0,26;19,5;33,21;;35,13;2,42
2012-11-02;;0,25;26,5;35,46;;33,96;2,58
2012-11-03;;0,28;24,92;41,46;;23,17;3,33
2012-11-04;;0,26;10,33;30,88;;24,17;2,88
2012-11-05;;0,22;7,29;31,75;;37,64;1,96
2012-11-06;;0,27;35,92;44,21;;14,96;3,42
2012-11-07;;0,33;49,58;47,13;;12,25;4,33
2012-11-08;;0,33;45,75;47,46;;19,08;4,42
2012-11-09;;0,39;67,5;53,96;;8,38;4,5
2012-11-10;;0,34;32,13;35,96;;21,29;3,0
2012-11-11;;0,3;18,21;34,88;;17,96;2,88
2012-11-12;;0,28;14,17;35,25;;17,0;2,79
2012-11-13;;0,28;13,88;34,63;;25,46;3,21
2012-11-14;;0,3;2,46;22,75;;40,21;2,0
2012-11-15;;0,4;43,71;41,48;;19,63;3,5
2012-11-16;;0,44;55,04;39,5;;17,83;3,63
2012-11-17;;0,38;32,42;34,17;;28,75;2,71
2012-11-18;;0,31;2,21;25,04;;43,75;1,79
2012-11-19;;0,39;26,92;34,58;;14,23;2,08
2012-11-20;;0,42;52,83;37,0;;11,42;3,17
2012-11-21;;0,5;68,13;41,5;;6,54;4,75
2012-11-22;;0,47;63,42;39,67;;12,29;3,79
2012-11-23;;0,45;45,88;35,92;;16,54;3,62
2012-11-24;;0,44;31,54;34,5;;27,0;3,38
2012-11-25;;0,49;31,0;38,92;;19,92;3,5
2012-11-26;;0,51;50,88;34,67;;22,75;3,46
2012-11-27;;0,4;19,13;46,13;;14,79;2,04
2012-11-28;;0,39;6,83;32,0;;27,74;2,06
2012-11-29;;0,38;23,67;39,38;;23,76;2,71
2012-11-30;;0,35;31,42;47,63;;21,83;3,42
2012-12-01;;0,36;19,29;39,42;;16,21;3,21
2012-12-02;;0,31;4,92;30,58;;28,75;3,17
2012-12-03;;0,39;44,58;36,71;;22,25;3,58
2012-12-04;;0,33;19,21;35,08;;28,71;3,17
2012-12-05;;0,27;4,46;25,58;;43,04;2,18
2012-12-06;;0,32;18,04;30,46;;32,83;3,08
2012-12-07;;0,42;33,75;40,92;;14,96;4,42
2012-12-08;;0,38;24,33;37,54;;27,92;3,46
2012-12-09;;0,39;18,38;34,92;;22,83;4,29
2012-12-10;;0,43;44,42;42,17;;14,71;4,58
2012-12-11;;0,46;50,79;42,92;;11,92;4,92
2012-12-12;;0,62;105,42;50,0;;5,63;6,54
2012-12-13;;0,46;56,14;39,41;;15,61;4,04
2012-12-14;;0,28;45,33;40,63;;19,04;4,54
2012-12-15;;0,2;2,71;17,06;;49,53;2,12
2012-12-17;;0,26;6,43;30,71;;39,43;2,15
2012-12-18;;0,3;47,21;43,0;;17,21;3,25
2012-12-19;;0,39;90,46;40,79;;6,04;4,54
2012-12-20;;0,41;92,0;35,75;;9,96;4,21
2012-12-21;;0,32;56,96;42,79;;15,42;3,96
2012-12-22;;0,33;42,88;39,13;;14,13;3,17
2012-12-23;;0,24;7,04;23,04;;22,88;2,38
2012-12-24;;0,27;15,46;28,58;;17,83;2,25
2012-12-25;;0,3;7,5;28,17;;18,67;2,04
2012-12-26;;0,31;20,58;31,96;;17,04;2,21
2012-12-27;;0,33;28,5;41,09;;11,92;2,75
2012-12-28;;0,35;31,29;33,13;;14,96;2,67
2012-12-29;;0,32;11,92;29,79;;21,17;2,46
2012-12-30;;0,34;17,71;33,21;;20,21;2,67
2012-12-31;;0,32;9,08;27,33;;25,75;2,5
2013-01-01;;0,38;13,71;36,25;;15,83;2,5
2013-01-02;;0,4;40,54;35,71;;13,38;2,88
2013-01-03;;0,4;35,58;45,88;;11,54;3,59
2013-01-04;;0,36;14,33;41,46;;15,08;2,92
2013-01-05;;0,34;3,79;24,75;;26,0;2,38
2013-01-06;;0,36;11,25;27,38;;27,08;2,58
2013-01-07;;0,44;42,71;39,63;;14,5;4,29
2013-01-08;;0,55;59,92;39,92;;9,63;4,71
2013-01-09;;0,43;21,71;37,5;;13,0;4,0
2013-01-10;;0,55;57,91;44,55;;9,23;3,79
2013-01-11;;0,48;39,0;51,54;;15,33;3,92
2013-01-12;;0,5;24,17;42,38;;17,46;4,04
2013-01-13;;0,47;15,04;34,42;;27,58;2,42
2013-01-14;;0,43;19,04;42,58;;21,38;2,58
2013-01-15;;0,46;23,33;43,96;;26,0;2,43
2013-01-16;;0,55;66,17;42,46;;27,92;3,46
2013-01-17;;0,5;18,5;41,92;;31,38;2,79
2013-01-18;;0,55;26,88;46,96;;18,88;4,21
2013-01-19;;0,56;27,04;31,04;;28,92;2,63
2013-01-20;;0,5;1,67;23,75;;40,79;1,96
2013-01-21;;0,56;38,58;37,17;;31,38;2,79
2013-01-22;;0,59;39,42;50,58;;26,04;3,5
2013-01-23;;0,52;5,5;30,04;;37,29;2,0
2013-01-24;;0,47;20,13;43,04;;28,95;2,29
2013-01-25;;0,25;9,95;37,29;;40,42;3,21
2013-01-26;;0,32;13,63;36,42;;30,63;3,08
2013-01-27;;0,37;18,54;37,88;;21,5;3,58
2013-01-28;;0,36;34,21;36,04;;27,29;2,75
2013-01-29;;0,38;39,33;42,67;;16,88;3,46
2013-01-30;;0,43;37,63;38,92;;14,46;3,88
2013-01-31;;0,43;35,54;34,58;;13,67;3,88
2013-02-01;;0,4;31,17;31,08;;17,21;3,48
2013-02-02;;0,3;1,46;11,42;;55,88;2,0
2013-02-03;;0,3;1,13;14,83;;59,71;2,21
2013-02-04;;0,42;22,58;36,71;;29,54;3,17
2013-02-05;;0,4;20,46;31,04;;26,54;3,54
2013-02-06;;0,33;2,54;18,46;;52,58;2,0
2013-02-07;;0,37;7,38;29,92;;40,18;2,46
2013-02-08;;0,44;16,5;41,18;;27,83;3,83
2013-02-09;;0,47;16,33;38,79;;29,33;3,33
2013-02-10;;0,45;8,75;31,06;;33,63;3,71
2013-02-11;;0,2;3,0;21,0;;57,0;2,0
2013-02-12;;0,2;3,79;19,96;;54,38;2,17
2013-02-13;;0,28;36,33;41,83;;27,29;4,13
2013-02-14;;0,35;42,46;42,38;;22,71;4,91
2013-02-15;;0,33;25,35;34,09;;30,87;3,7
2013-02-16;;0,31;2,67;21,46;;55,54;2,0
2013-02-17;;0,32;4,96;26,75;;48,79;2,38
2013-02-18;;0,41;42,79;35,83;;31,46;3,5
2013-02-19;;0,37;19,05;31,23;;54,32;2,67
2013-02-20;;0,4;28,88;44,5;;31,58;3,67
2013-02-21;;0,43;27,5;40,08;;31,38;4,42
2013-02-22;;0,36;9,96;39,75;;33,38;3,75
2013-02-23;;0,33;5,04;30,33;;47,75;2,25
2013-02-24;;0,34;2,33;22,63;;54,58;2,75
2013-02-25;;0,45;29,88;49,21;;24,96;4,08
2013-02-26;;0,46;33,63;48,54;;26,88;4,33
2013-02-27;;0,53;21,32;45,73;;33,86;4,62
2013-02-28;;0,48;2,17;25,79;;62,5;2,04
2013-03-01;;0,49;8,08;38,13;;49,13;2,04
2013-03-02;;0,55;16,38;40,21;;34,04;2,67
2013-03-03;;0,55;7,33;33,79;;43,08;2,79
2013-03-04;;0,47;23,86;46,0;;35,82;3,0
2013-03-05;;0,2;2,88;26,63;;64,0;1,92
2013-03-06;;0,27;22,38;40,42;;39,33;1,54
2013-03-07;;0,28;44,58;37,21;;30,79;2,08
2013-03-08;;0,21;3,46;24,25;;63,04;1,46
2013-03-09;;0,23;3,21;25,08;;53,83;1,58
2013-03-10;;0,23;2,04;24,71;;51,33;1,83
2013-03-11;;0,3;4,33;30,95;;46,95;1,82
2013-03-12;;0,32;5,58;30,79;;50,17;2,0
2013-03-13;;0,35;18,25;44,63;;22,88;1,96
