date;no;no2;nox
2013-05-04;4,08;35,42;41,5
2013-05-05;2,5;26,75;30,38
2013-05-06;8,13;43,42;55,79
2013-05-07;11,27;49,74;67,14
2013-05-08;21,17;80,92;113,17
2013-05-09;7,96;37,92;49,71
2013-05-10;4,96;26,92;34,38
2013-05-11;1,75;16,58;18,79
2013-05-12;1,92;13,0;15,33
2013-05-13;3,63;25,54;30,63
2013-05-14;5,21;36,67;44,25
2013-05-15;4,67;36,96;43,58
2013-05-16;4,63;24,58;31,38
2013-05-17;6,29;34,46;43,46
2013-05-18;2,21;15,79;18,71
2013-05-19;1,46;13,88;15,54
2013-05-20;1,75;17,25;19,29
2013-05-21;4,21;28,42;34,46
2013-05-22;4,21;24,25;30,13
2013-05-23;3,5;21,17;25,83
2013-05-24;3,32;17,23;21,91
2013-05-25;1,83;14,08;16,58
2013-05-26;1,96;16,96;19,38
2013-05-27;4,17;25,58;31,58
2013-05-28;4,29;26,46;32,54
2013-05-29;2,92;16,5;20,63
2013-05-30;5,58;27,17;35,21
2013-05-31;3,29;27,25;31,79
2013-06-01;2,04;27,58;30,46
2013-06-02;2,21;23,38;26,25
2013-06-03;3,88;30,21;35,63
2013-06-04;7,83;40,58;52,25
2013-06-05;4,81;35,94;43,13
2013-06-06;5,54;42,08;50,08
2013-06-07;6,5;35,71;45,13
2013-06-08;1,96;19,54;22,13
2013-06-09;1,83;17,42;19,63
2013-06-10;3,5;21,75;26,71
2013-06-11;7,33;39,17;50,08
2013-06-12;11,08;44,33;61,21
2013-06-13;5,04;41,67;49,5
2013-06-14;5,42;24,88;32,88
2013-06-15;6,88;39,75;50,42
2013-06-16;8,67;38,75;51,79
2013-06-17;2,46;23,08;26,75
2013-06-18;2,88;21,33;25,42
2013-06-19;3,67;17,25;22,5
2013-06-20;3,5;17,42;22,38
2013-06-21;3,25;24,58;29,29
2013-06-22;1,63;14,67;16,75
2013-06-23;3,04;21,92;26,13
2013-06-24;2,63;10,0;14,0
2013-06-25;3,96;17,38;23,04
2013-06-26;4,29;22,08;27,92
2013-06-27;3,83;21,25;26,75
2013-06-28;3,25;21,13;25,96
2013-06-29;2,21;17,54;20,67
2013-06-30;1,38;15,42;17,46
2013-07-01;5,67;27,04;35,42
2013-07-02;3,13;19,64;24,04
2013-07-03;4,58;23,33;29,75
2013-07-04;4,46;21,71;28,29
2013-07-05;14,38;33,67;55,5
2013-07-06;4,75;26,96;34,29
2013-07-07;3,5;36,08;41,42
2013-07-08;3,79;42,38;47,92
2013-07-09;14,79;57,96;80,17
2013-07-10;3,42;29,88;34,71
2013-07-11;3,67;38,81;44,24
2013-07-12;7,67;41,17;52,54
2013-07-13;2,25;20,42;23,63
2013-07-14;1,88;23,54;25,88
2013-07-15;5,96;33,25;41,71
2013-07-16;3,96;25,04;31,08
2013-07-17;5,33;34,5;42,46
2013-07-18;2,79;22,21;26,08
2013-07-19;7,75;40,92;52,54
2013-07-20;2,92;30,21;34,54
2013-07-21;1,96;23,54;26,58
2013-07-22;9,42;44,08;58,33
2013-07-23;2,92;24,5;28,75
2013-07-24;3,79;27,29;32,67
2013-07-25;4,0;23,46;29,21
2013-07-26;10,38;39,71;55,46
2013-07-27;1,54;14,83;17,13
2013-07-28;1,38;14,29;16,04
2013-07-29;2,32;17,48;19,95
2013-07-30;3,25;21,21;25,96
2013-07-31;5,63;32,92;41,42
2013-08-01;4,67;30,63;37,38
