date;no;no2;nox;so2
2012-07-16;3,92;13,33;19,08;1,5
2012-07-17;10,0;31,14;46,1;1,87
2012-07-18;11,42;39,29;56,54;2,88
2012-07-19;10,58;35,54;51,13;2,96
2012-07-20;12,46;26,96;45,71;2,0
2012-07-21;3,08;19,42;23,63;1,92
2012-07-22;1,75;15,04;17,38;1,88
2012-07-23;9,38;31,63;45,58;2,46
2012-07-24;10,29;41,08;56,29;3,08
2012-07-25;11,88;39,08;56,92;2,58
2012-07-26;7,0;30,5;40,96;2,46
2012-07-27;4,42;38,54;44,79;2,67
2012-07-28;3,54;24,46;29,46;2,29
2012-07-29;2,17;17,92;21,04;1,83
2012-07-30;2,74;18,09;21,91;1,65
2012-07-31;14,58;31,83;53,67;1,21
2012-08-01;10,08;26,08;41,33;1,17
2012-08-02;4,79;33,21;40,0;1,79
2012-08-03;17,38;48,25;74,38;3,91
2012-08-04;4,83;32,71;39,67;2,33
2012-08-05;2,21;20,42;23,38;1,29
2012-08-06;3,21;19,54;24,17;1,04
2012-08-07;11,17;34,67;51,29;1,54
2012-08-08;5,96;34,04;42,92;1,04
2012-08-09;9,17;44,58;58,25;1,63
2012-08-10;8,46;45,04;57,54;3,13
2012-08-11;4,46;38,5;44,96;2,75
2012-08-12;2,0;23,04;25,88;1,46
2012-08-13;8,91;27,68;41,05;1,13
2012-08-14;6,29;22,29;31,42;1,04
2012-08-15;3,5;19,88;24,96;1,0
2012-08-16;3,29;23,46;28,04;1,88
2012-08-17;13,54;40,88;61,54;2,54
2012-08-18;6,21;35,5;44,38;2,08
2012-08-19;5,13;35,21;42,63;2,63
2012-08-20;12,96;34,67;54,04;2,33
2012-08-21;7,46;38,0;49,21;2,04
2012-08-22;12,88;42,08;61,58;2,63
2012-08-23;13,58;44,33;64,71;3,54
2012-08-24;14,46;37,71;59,29;1,58
2012-08-25;2,5;20,58;24,17;1,13
2012-08-26;1,63;9,38;11,25;1,04
2012-08-27;7,58;24,92;36,17;1,17
2012-08-28;2,09;13,68;16,59;1,05
2012-08-29;11,17;26,33;43,0;1,33
2012-08-30;2,92;29,67;33,83;1,04
2012-08-31;4,83;24,5;31,67;1,54
2012-09-01;2,96;21,17;25,33;1,54
2012-09-02;2,67;28,0;31,25;1,58
2012-09-03;6,75;42,67;52,54;2,67
2012-09-04;5,08;35,71;43,17;2,21
2012-09-05;9,13;47,04;60,75;2,25
2012-09-06;10,04;42,58;57,54;1,83
2012-09-07;13,58;44,46;64,88;2,67
2012-09-08;5,54;39,71;47,83;1,54
2012-09-09;2,29;26,5;29,58;1,13
2012-09-10;10,58;39,29;55,04;1,33
2012-09-11;4,5;27,67;33,92;1,17
2012-09-12;16,04;36,79;61,08;1,63
2012-09-13;5,92;29,25;37,83;1,38
2012-09-14;9,55;45,82;60,0;1,95
