date;pm10
2015-03-23;37,67
2015-03-24;23,29
2015-03-25;15,13
2015-03-26;28,67
2015-03-27;24,25
2015-03-28;25,17
2015-03-29;23,59
2015-03-30;32,71
2015-03-31;31,21
2015-04-01;32,88
2015-04-02;33,0
2015-04-08;25,23
2015-04-09;28,38
2015-04-10;36,96
2015-04-11;26,21
2015-04-12;25,05
2015-04-13;35,17
2015-04-14;38,21
2015-04-15;32,57
2015-04-16;31,89
2015-04-17;33,71
2015-04-21;18,75
2015-04-22;28,17
2015-04-23;28,46
2015-04-24;32,75
2015-04-25;41,25
2015-04-26;38,71
2015-04-27;10,13
2015-04-28;17,58
2015-04-29;26,46
2015-04-30;25,92
2015-05-01;30,04
2015-05-02;23,5
2015-05-03;25,83
2015-05-04;46,25
2015-05-05;42,33
2015-05-06;35,92
2015-05-07;29,79
2015-05-08;39,17
2015-05-19;19,89
2015-05-20;10,79
2015-05-21;15,63
2015-05-22;19,08
2015-05-23;18,25
2015-05-24;19,38
2015-05-25;26,21
2015-05-26;25,21
2015-05-27;30,46
2015-05-28;37,38
2015-05-29;32,54
2015-05-30;16,38
2015-05-31;15,21
2015-06-01;19,54
2015-06-02;25,38
2015-06-03;27,33
2015-06-04;29,13
2015-06-05;29,38
2015-06-06;20,04
2015-06-07;17,04
2015-06-08;29,13
2015-06-09;22,38
2015-06-10;30,0
2015-06-11;38,25
2015-06-12;22,46
2015-06-15;21,79
2015-06-16;13,17
2015-06-17;21,17
2015-06-19;34,3
2015-07-22;18,33
2015-08-23;13,39
2015-08-24;14,22
2015-08-26;21,07
2015-08-31;30,56
2015-09-01;21,0
2015-09-02;29,17
2015-09-03;17,5
2015-09-04;14,5
2015-09-05;17,96
2015-09-06;20,7
2015-09-07;19,7
2015-09-08;29,18
2015-09-09;36,93
2015-09-16;37,67
2015-09-17;29,13
2015-09-18;30,35
2015-09-19;25,76
2015-09-20;29,36
2015-09-21;34,48
2015-09-22;48,74
2015-09-23;33,39
2015-09-24;23,4
2015-09-25;34,76
2015-09-26;30,0
2015-09-27;26,58
2015-09-28;31,1
2015-09-29;28,1
2015-09-30;21,18
2015-10-01;30,17
2015-10-05;51,57
2015-10-06;23,84
2015-10-07;40,0
2015-10-08;29,63
2015-10-09;30,8
2015-10-10;27,2
2015-10-11;40,0
2015-10-12;55,38
2015-10-13;50,43
2015-10-14;28,0
2015-10-15;27,92
2015-10-16;30,55
2015-10-17;28,83
2015-10-18;27,14
2015-10-19;28,88
2015-10-20;28,29
2015-10-21;29,0
2015-10-22;24,62
2015-10-23;42,0
2015-11-02;30,38
2015-11-06;41,64
2015-11-07;41,46
2015-11-08;35,75
2015-11-09;27,42
2015-11-10;24,9
2015-11-11;24,86
2015-11-17;38,36
2015-11-18;35,96
2015-11-19;37,83
2015-11-20;36,58
2015-11-21;24,44
2015-11-22;11,8
2015-11-23;17,17
2015-11-24;19,71
2015-11-25;35,79
2015-11-26;31,0
2015-11-27;29,46
2015-11-28;22,04
2015-11-29;18,55
2015-11-30;29,33
2015-12-01;47,5
2015-12-02;48,83
2015-12-03;55,88
2015-12-04;65,83
2015-12-05;56,36
2015-12-10;58,82
2015-12-11;36,67
2015-12-12;32,17
2015-12-13;23,29
2015-12-14;49,04
2015-12-15;45,33
2015-12-16;76,96
2015-12-17;56,29
2015-12-18;71,0
2015-12-19;65,04
2015-12-20;75,54
2015-12-21;59,96
2015-12-22;43,08
2015-12-23;46,71
2015-12-24;35,88
2015-12-25;43,04
2015-12-26;34,58
2015-12-27;31,42
2015-12-28;40,0
2015-12-29;35,42
2015-12-30;40,25
2015-12-31;34,83
2016-01-06;13,38
2016-01-07;21,54
2016-01-09;22,38
2016-01-10;33,4
2016-01-12;20,8
2016-01-13;26,14
2016-01-14;24,0
2016-01-15;20,22
2016-01-16;10,0
2016-01-17;17,0
2016-01-18;34,04
2016-01-19;23,79
2016-01-20;29,71
2016-01-21;39,5
2016-01-22;50,63
2016-01-23;45,58
2016-01-24;40,71
2016-01-25;41,42
2016-01-26;39,17
2016-01-27;34,5
2016-01-28;48,46
2016-01-29;55,79
2016-01-30;31,42
2016-01-31;25,63
2016-02-01;23,08
2016-02-02;42,5
2016-02-09;30,17
2016-02-10;22,1
2016-02-11;23,21
2016-02-12;29,43
2016-02-13;12,74
2016-02-14;14,4
2016-02-15;17,7
2016-02-16;14,83
2016-02-17;19,67
2016-02-18;32,83
2016-02-19;31,17
2016-02-20;24,46
2016-02-21;23,29
2016-02-22;86,33
2016-02-23;114,96
2016-02-24;41,13
2016-02-25;34,35
2016-02-26;24,29
2016-02-27;40,33
2016-02-29;32,78
2016-03-01;20,83
2016-03-02;25,0
2016-03-03;15,58
2016-03-04;19,59
2016-03-05;17,06
2016-03-06;9,69
2016-03-07;21,63
2016-03-08;21,9
2016-03-09;17,58
2016-03-10;18,5
2016-03-11;23,79
2016-03-12;24,13
2016-03-13;28,67
2016-03-14;43,67
2016-03-15;31,46
2016-03-16;20,88
2016-03-17;12,71
2016-03-18;22,75
2016-03-19;30,75
2016-03-20;13,0
2016-03-21;17,13
2016-03-22;17,79
2016-03-23;19,08
2016-03-24;23,38
2016-03-25;29,5
2016-03-26;32,96
2016-03-27;25,14
2016-03-28;19,3
2016-03-29;21,5
2016-03-30;28,92
2016-03-31;44,0
2016-04-01;25,55
2016-04-02;20,21
2016-04-03;13,71
2016-04-04;27,33
2016-04-05;17,79
2016-04-06;20,71
2016-04-07;22,73
2016-04-08;15,0
2016-04-09;14,68
2016-04-10;24,04
2016-04-11;31,13
2016-04-12;27,33
2016-04-13;23,75
2016-04-14;21,92
2016-04-15;34,88
2016-04-16;26,13
2016-04-17;10,77
2016-04-18;30,17
2016-04-19;39,0
2016-04-20;57,96
2016-04-21;16,67
2016-04-22;38,35
2016-04-23;19,65
2016-04-24;14,14
2016-04-25;24,78
2016-04-26;30,46
2016-04-27;31,83
2016-04-28;18,0
2016-04-29;25,25
2016-04-30;17,5
2016-05-01;11,33
2016-05-02;23,1
2016-05-03;32,17
2016-05-04;27,42
2016-05-05;38,88
2016-05-06;25,67
2016-05-07;17,21
2016-05-08;14,48
2016-05-09;28,96
2016-05-10;20,68
2016-05-11;17,37
2016-05-12;19,65
2016-05-13;23,05
2016-05-14;17,75
2016-05-15;13,46
2016-05-16;22,36
2016-05-17;25,38
2016-05-18;27,0
2016-05-19;24,0
2016-05-20;23,08
2016-05-21;25,91
2016-05-22;19,67
2016-05-23;14,71
2016-05-24;24,29
2016-05-25;28,45
2016-05-26;28,72
2016-05-27;35,76
2016-05-28;39,63
2016-05-29;13,79
2016-05-30;16,07
2016-05-31;15,91
2016-06-01;20,19
2016-06-02;24,67
2016-06-04;25,25
2016-06-05;22,24
2016-06-06;31,11
2016-06-07;35,82
2016-06-08;34,43
2016-06-10;31,0
2016-06-11;23,67
2016-06-12;24,06
2016-06-13;30,38
2016-06-14;29,88
2016-06-15;37,21
2016-06-16;20,9
2016-06-17;24,67
2016-06-22;23,52
2016-06-23;25,71
2016-06-24;31,17
2016-06-25;28,06
2016-06-26;24,43
2016-06-27;24,19
2016-06-28;29,05
2016-06-29;38,9
2016-06-30;34,29
2016-07-01;39,0
2016-07-06;33,71
2016-07-07;52,67
2016-07-11;29,1
2016-07-12;37,0
2016-07-13;31,42
2016-07-14;20,16
2016-07-15;27,95
2016-07-16;27,32
2016-07-17;28,5
2016-07-19;36,13
2016-07-20;56,07
2016-07-21;45,38
2016-07-22;87,78
2016-07-23;24,06
