date;co;no;no2;nox;o3;pm10;pm2.5;so2
2012-09-20;0,31;2,29;29,08;31,88;53,58;;;2,75
2012-09-21;0,42;9,75;39,54;53,54;49,88;;;3,58
2012-09-22;0,21;1,54;18,04;19,75;62,25;;;1,83
2012-09-23;0,42;1,04;12,63;13,5;70,5;;;1,54
2012-09-24;0,32;1,04;8,13;9,0;77,92;;;1,52
2012-09-25;0,2;1,46;16,92;18,63;85,3;;;
2012-09-26;0,41;2,88;26,29;30,29;66,04;;;5,69
2012-09-27;0,2;2,96;25,38;29,42;58,71;;;7,04
2012-09-28;0,27;5,0;32,67;39,75;52,96;;;5,04
2012-09-29;0,31;2,63;32,71;36,04;51,96;;;2,67
2012-09-30;0,21;2,13;21,21;23,83;51,29;;;2,63
2012-10-01;0,3;2,17;24,29;27,13;61,21;;;2,96
2012-10-02;0,28;5,0;36,5;43,75;58,74;;;5,29
2012-10-03;0,25;6,88;32,13;42,13;71,83;;;4,21
2012-10-04;0,46;2,5;25,79;29,0;76,21;;;3,92
2012-10-05;0,44;8,86;40,64;53,64;47,86;;;4,95
2012-10-06;0,29;5,08;30,67;37,92;47,04;;;6,75
2012-10-07;0,24;2,38;31,42;34,17;60,79;;;7,96
2012-10-08;0,43;16,17;52,5;76,88;42,54;;;7,79
2012-10-09;0,44;16,46;44,46;69,13;45,33;;;7,5
2012-10-10;0,25;4,79;30,92;37,54;39,96;;;3,17
2012-10-11;0,27;8,13;34,21;46,38;32,67;;;3,79
2012-10-12;0,2;4,0;25,33;30,88;31,38;;;3,71
2012-10-13;0,33;3,25;23,5;27,88;43,96;;;4,54
2012-10-14;0,35;1,92;15,42;17,83;65,33;;;3,25
2012-10-15;0,2;3,33;18,04;22,63;51,54;;;9,79
2012-10-16;0,23;4,83;23,5;30,25;61,67;;;2,96
2012-10-17;0,53;19,79;42,46;72,17;56,54;;;4,38
2012-10-18;0,44;2,46;27,58;30,71;58,92;;;2,75
2012-10-19;0,2;5,5;34,75;42,75;45,08;;;
